Start Date,1/1/2022
End Date,12/31/2022
,
,BXM Index
,Last Price
Dates,PX_LAST
1/3/2022,1778.59
1/4/2022,1778.63
1/5/2022,1767.15
1/6/2022,1768.3
1/7/2022,1768.79
1/10/2022,1768.32
1/11/2022,1775.54
1/12/2022,1777.9
1/13/2022,1768.18
1/14/2022,1772.72
1/18/2022,1752.31
1/19/2022,1738.14
1/20/2022,1719.35
1/21/2022,1694.22
1/24/2022,1698.08
1/25/2022,1684.87
1/26/2022,1684.72
1/27/2022,1679.36
1/28/2022,1709.14
1/31/2022,1729.58
2/1/2022,1738.62
2/2/2022,1745.22
2/3/2022,1723.81
2/4/2022,1732.88
2/7/2022,1733.17
2/8/2022,1742.03
2/9/2022,1750.54
2/10/2022,1738.28
2/11/2022,1721.38
2/14/2022,1720.3
2/15/2022,1741.97
2/16/2022,1746.51
2/17/2022,1717.89
2/18/2022,1705.91
2/22/2022,1698.77
2/23/2022,1679.28
2/24/2022,1698.4
2/25/2022,1719.57
2/28/2022,1717.77
3/1/2022,1700.05
3/2/2022,1721.25
3/3/2022,1717.96
3/4/2022,1711.96
3/7/2022,1679.33
3/8/2022,1671.34
3/9/2022,1706.2
3/10/2022,1704.68
3/11/2022,1687.52
3/14/2022,1677.39
3/15/2022,1711.08
3/16/2022,1742.27
3/17/2022,1752.76
3/18/2022,1769.51
3/21/2022,1770.54
3/22/2022,1778.3
3/23/2022,1772.3
3/24/2022,1782.7
3/25/2022,1786.2
3/28/2022,1791.91
3/29/2022,1795.14
3/30/2022,1795.83
3/31/2022,1788.31
4/1/2022,1795.41
4/4/2022,1798.23
4/5/2022,1794.07
4/6/2022,1791.52
4/7/2022,1793.71
4/8/2022,1794.92
4/11/2022,1786.66
4/12/2022,1788.07
4/13/2022,1799.89
4/14/2022,1781
4/18/2022,1782.84
4/19/2022,1798.07
4/20/2022,1798.21
4/21/2022,1785.14
4/22/2022,1750.63
4/25/2022,1760.03
4/26/2022,1719.2
4/27/2022,1723.5
4/28/2022,1757.98
4/29/2022,1703.87
5/2/2022,1713.49
5/3/2022,1722.4
5/4/2022,1767.99
5/5/2022,1712.24
5/6/2022,1703.63
5/9/2022,1649.98
5/10/2022,1654.26
5/11/2022,1627.21
5/12/2022,1625.69
5/13/2022,1664.73
5/16/2022,1658.26
5/17/2022,1691.8
5/18/2022,1623.86
5/19/2022,1614.56
5/20/2022,1604.57
5/23/2022,1618.74
5/24/2022,1612.86
5/25/2022,1620.86
5/26/2022,1633.16
5/27/2022,1642.14
5/31/2022,1640.25
6/1/2022,1642.31
6/2/2022,1646.83
6/3/2022,1644.76
6/6/2022,1647.25
6/7/2022,1649.41
6/8/2022,1648.94
6/9/2022,1643.84
6/10/2022,1629.22
6/13/2022,1586.67
6/14/2022,1584.1
6/15/2022,1607.16
6/16/2022,1559.31
6/17/2022,1563.53
6/21/2022,1580.55
6/22/2022,1582.12
6/23/2022,1587.29
6/24/2022,1596.85
6/27/2022,1600.01
6/28/2022,1594.58
6/29/2022,1595.94
6/30/2022,1592.96
7/1/2022,1599.81
7/5/2022,1601.54
7/6/2022,1603.38
7/7/2022,1607.68
7/8/2022,1609.04
7/11/2022,1608.71
7/12/2022,1606.2
7/13/2022,1609.66
7/14/2022,1609.9
7/15/2022,1617.07
7/18/2022,1610.84
7/19/2022,1630.18
7/20/2022,1633.87
7/21/2022,1640.58
7/22/2022,1637.7
7/25/2022,1640.4
7/26/2022,1633.13
7/27/2022,1647.71
7/28/2022,1652.13
7/29/2022,1655
8/1/2022,1655.81
8/2/2022,1653.8
8/3/2022,1658.08
8/4/2022,1659.37
8/5/2022,1659.66
8/8/2022,1659.77
8/9/2022,1659.41
8/10/2022,1662.28
8/11/2022,1660.45
8/12/2022,1662.64
8/15/2022,1662.2
8/16/2022,1661.8
8/17/2022,1662.74
8/18/2022,1662.41
8/19/2022,1653.1
8/22/2022,1631.45
8/23/2022,1630.27
8/24/2022,1635.1
8/25/2022,1650.24
8/26/2022,1610.47
8/29/2022,1602.23
8/30/2022,1586.8
8/31/2022,1575.57
9/1/2022,1580.76
9/2/2022,1564.49
9/6/2022,1558.32
9/7/2022,1586.65
9/8/2022,1597.52
9/9/2022,1621.65
9/12/2022,1637.28
9/13/2022,1568.55
9/14/2022,1574.57
9/15/2022,1556.92
9/16/2022,1542.73
9/19/2022,1547.8
9/20/2022,1539.57
9/21/2022,1526.44
9/22/2022,1521.6
9/23/2022,1503.53
9/26/2022,1491.28
9/27/2022,1490.12
9/28/2022,1513.89
9/29/2022,1490.36
9/30/2022,1472.09
10/3/2022,1506.43
10/4/2022,1539.54
10/5/2022,1538.74
10/6/2022,1528.65
10/7/2022,1495.91
10/10/2022,1486.25
10/11/2022,1477.04
10/12/2022,1472.81
10/13/2022,1509.13
10/14/2022,1476.61
10/17/2022,1515.34
10/18/2022,1532.33
10/19/2022,1523.16
10/20/2022,1511.41
10/21/2022,1536.47
10/24/2022,1544.96
10/25/2022,1554.16
10/26/2022,1553.24
10/27/2022,1551.08
10/28/2022,1562.65
10/31/2022,1562.36
11/1/2022,1562.22
11/2/2022,1553.68
11/3/2022,1549.65
11/4/2022,1558.62
11/7/2022,1565.07
11/8/2022,1567.47
11/9/2022,1560.09
11/10/2022,1576.19
11/11/2022,1575.3
11/14/2022,1575.47
11/15/2022,1576.43
11/16/2022,1575.79
11/17/2022,1576.31
11/18/2022,1567.12
11/21/2022,1567.04
11/22/2022,1578.38
11/23/2022,1583.45
11/25/2022,1584.3
11/28/2022,1574.65
11/29/2022,1574.4
11/30/2022,1592.68
12/1/2022,1594.01
12/2/2022,1595.45
12/5/2022,1587
12/6/2022,1575.74
12/7/2022,1575.07
12/8/2022,1582.44
12/9/2022,1577.62
12/12/2022,1586.46
12/13/2022,1597.53
12/14/2022,1602.2
12/15/2022,1582.78
12/16/2022,1563.22
12/19/2022,1558.36
12/20/2022,1560.61
12/21/2022,1572.92
12/22/2022,1561.43
12/23/2022,1568.12
12/27/2022,1566.47
12/28/2022,1556.2
12/29/2022,1572.94
12/30/2022,1572.13
