Start Date,1/1/2022,
End Date,12/31/2022,
,,
,PBP UF Equity,
,Last Price,Net Asset Value (NAV)
Dates,PX_LAST,FUND_NET_ASSET_VAL
1/3/2022,23.11,23.1783
1/4/2022,23.18,23.1783
1/5/2022,23.07,23.0274
1/6/2022,#N/A N/A,23.0419
1/7/2022,23.06,23.0472
1/10/2022,23.07,23.0408
1/11/2022,23.17,23.1346
1/12/2022,#N/A N/A,23.1652
1/13/2022,23.14,23.0378
1/14/2022,#N/A N/A,23.0955
1/18/2022,22.81,22.8294
1/19/2022,22.82,22.6446
1/20/2022,22.34,22.3995
1/21/2022,22.03,22.0781
1/24/2022,21.93,22.1217
1/25/2022,21.98,21.947
1/26/2022,21.98,21.9468
1/27/2022,21.84,21.8765
1/28/2022,22.3,22.2639
1/31/2022,22.42,22.5303
2/1/2022,22.63,22.6483
2/2/2022,22.7,22.7342
2/3/2022,22.56,22.4545
2/4/2022,#N/A N/A,22.5717
2/7/2022,#N/A N/A,22.575
2/8/2022,22.65,22.6902
2/9/2022,22.83,22.8002
2/10/2022,22.65,22.6401
2/11/2022,22.34,22.4186
2/14/2022,22.34,22.4039
2/15/2022,22.63,22.6863
2/16/2022,22.69,22.7449
2/17/2022,22.57,22.3715
2/18/2022,#N/A N/A,22.2088
2/22/2022,22.02,22.1152
2/23/2022,21.95,21.8599
2/24/2022,21.75,22.1083
2/25/2022,22.38,22.3829
2/28/2022,22.27,22.3592
3/1/2022,#N/A N/A,22.1284
3/2/2022,22.38,22.4041
3/3/2022,22.37,22.3608
3/4/2022,22.31,22.2818
3/7/2022,21.88,21.8568
3/8/2022,21.72,21.7524
3/9/2022,22.14,22.2059
3/10/2022,22.1,22.1858
3/11/2022,22.11,21.9615
3/14/2022,21.86,21.8293
3/15/2022,22.18,22.2674
3/16/2022,22.65,22.6735
3/17/2022,22.88,22.8099
3/18/2022,23.02,23.0296
3/21/2022,22.95,22.9735
3/22/2022,23.12,23.0753
3/23/2022,23.03,22.995
3/24/2022,#N/A N/A,23.1302
3/25/2022,23.07,23.1748
3/28/2022,#N/A N/A,23.2489
3/29/2022,23.26,23.2913
3/30/2022,23.2,23.2994
3/31/2022,23.235,23.2007
4/1/2022,23.22,23.2917
4/4/2022,23.36,23.3286
4/5/2022,23.29,23.2735
4/6/2022,#N/A N/A,23.2398
4/7/2022,23.25,23.268
4/8/2022,23.35,23.2826
4/11/2022,23.21,23.1747
4/12/2022,23.235,23.1926
4/13/2022,23.39,23.3457
4/14/2022,23.16,23.0928
4/18/2022,#N/A N/A,23.1158
4/19/2022,#N/A N/A,23.3134
4/20/2022,#N/A N/A,23.315
4/21/2022,23.18,23.1447
4/22/2022,22.73,22.6957
4/25/2022,#N/A N/A,22.8174
4/26/2022,22.51,22.2875
4/27/2022,#N/A N/A,22.3429
4/28/2022,22.74,22.7899
4/29/2022,22.43,22.0872
5/2/2022,22.16,22.2116
5/3/2022,#N/A N/A,22.3267
5/4/2022,22.29,22.9176
5/5/2022,22.11,22.1944
5/6/2022,22.08,22.0818
5/9/2022,21.33,21.3863
5/10/2022,21.47,21.4415
5/11/2022,21.17,21.0906
5/12/2022,20.8,21.0707
5/13/2022,21.56,21.5754
5/16/2022,21.47,21.4914
5/17/2022,21.88,21.9254
5/18/2022,21.1,21.0453
5/19/2022,20.96,20.9247
5/20/2022,20.79,20.7827
5/23/2022,20.94,20.976
5/24/2022,20.87,20.8992
5/25/2022,21.02,21.003
5/26/2022,21.18,21.1629
5/27/2022,21.3,21.2792
5/31/2022,21.3,21.2852
6/1/2022,21.28,21.2835
6/2/2022,21.37,21.3409
6/3/2022,21.3,21.3141
6/6/2022,21.31,21.346
6/7/2022,21.33,21.3733
6/8/2022,#N/A N/A,21.3664
6/9/2022,21.31,21.3001
6/10/2022,21.17,21.1098
6/13/2022,20.53,20.5577
6/14/2022,20.54,20.5241
6/15/2022,20.76,20.8222
6/16/2022,20.15,20.2025
6/17/2022,20.18,20.2552
6/21/2022,20.35,20.4101
6/22/2022,20.38,20.4298
6/23/2022,20.45,20.4971
6/24/2022,20.63,20.6229
6/27/2022,20.62,20.6628
6/28/2022,20.63,20.59
6/29/2022,20.63,20.6072
6/30/2022,20.59,20.5676
7/1/2022,20.7,20.6556
7/5/2022,20.62,20.6779
7/6/2022,20.75,20.7007
7/7/2022,20.78,20.7564
7/8/2022,20.72,20.773
7/11/2022,20.72,20.7677
7/12/2022,20.68,20.735
7/13/2022,20.8,20.779
7/14/2022,20.7,20.7816
7/15/2022,20.73,20.875
7/18/2022,#N/A N/A,20.7896
7/19/2022,21.06,21.0411
7/20/2022,21.08,21.089
7/21/2022,21.08,21.1762
7/22/2022,21.1,21.1371
7/25/2022,21.21,21.1716
7/26/2022,#N/A N/A,21.0765
7/27/2022,21.27,21.2668
7/28/2022,21.26,21.3252
7/29/2022,21.32,21.3632
8/1/2022,21.4,21.3729
8/2/2022,21.32,21.3457
8/3/2022,21.43,21.4026
8/4/2022,21.37,21.4188
8/5/2022,21.35,21.4214
8/8/2022,21.46,21.4223
8/9/2022,#N/A N/A,21.4168
8/10/2022,21.49,21.4564
8/11/2022,21.48,21.4326
8/12/2022,21.5,21.4625
8/15/2022,21.37,21.4572
8/16/2022,21.5,21.452
8/17/2022,21.4,21.4627
8/18/2022,21.5,21.4586
8/19/2022,21.35,21.3149
8/22/2022,21.07,21.0548
8/23/2022,21.07,21.0391
8/24/2022,21.12,21.1011
8/25/2022,21.23,21.2968
8/26/2022,#N/A N/A,20.7817
8/29/2022,20.77,20.675
8/30/2022,20.51,20.4755
8/31/2022,20.36,20.3305
9/1/2022,20.23,20.397
9/2/2022,20.12,20.1862
9/6/2022,20.14,20.1064
9/7/2022,20.36,20.4712
9/8/2022,20.63,20.611
9/9/2022,20.86,20.9212
9/12/2022,21.05,21.1223
9/13/2022,20.16,20.2397
9/14/2022,20.35,20.3136
9/15/2022,20.05,20.086
9/16/2022,19.81,19.9138
9/19/2022,19.86,19.9155
9/20/2022,19.8,19.8088
9/21/2022,19.78,19.6393
9/22/2022,19.6,19.5766
9/23/2022,19.28,19.3434
9/26/2022,19.23,19.1856
9/27/2022,19.18,19.1703
9/28/2022,19.45,19.4758
9/29/2022,19.12,19.1725
9/30/2022,19.28,18.9368
10/3/2022,19.41,19.3783
10/4/2022,19.78,19.8046
10/5/2022,19.72,19.794
10/6/2022,19.56,19.6636
10/7/2022,19.12,19.2414
10/10/2022,19.18,19.1169
10/11/2022,19.01,18.9981
10/12/2022,19.08,18.9434
10/13/2022,19.35,19.4102
10/14/2022,19.02,18.9912
10/17/2022,19.43,19.4888
10/18/2022,19.57,19.7071
10/19/2022,19.6,19.5911
10/20/2022,19.46,19.4397
10/21/2022,19.7,19.7684
10/24/2022,19.8,19.8847
10/25/2022,19.96,20.0033
10/26/2022,20,19.9907
10/27/2022,19.91,19.9623
10/28/2022,20.05,20.1112
10/31/2022,20.12,20.1071
11/1/2022,20.13,20.105
11/2/2022,20.03,19.995
11/3/2022,19.97,19.9429
11/4/2022,20.1,20.0552
11/7/2022,20.17,20.1383
11/8/2022,20.22,20.1691
11/9/2022,20.13,20.0729
11/10/2022,20.31,20.2828
11/11/2022,20.32,20.2712
11/14/2022,20.29,20.2725
11/15/2022,#N/A N/A,20.2851
11/16/2022,20.31,20.2761
11/17/2022,20.25,20.2821
11/18/2022,20.09,20.1546
11/21/2022,20.21,20.1546
11/22/2022,20.24,20.3011
11/23/2022,20.4,20.3662
11/25/2022,20.32,20.3761
11/28/2022,20.26,20.2504
11/29/2022,20.28,20.2467
11/30/2022,20.42,20.4818
12/1/2022,20.45,20.4987
12/2/2022,20.57,20.5163
12/5/2022,20.34,20.4071
12/6/2022,20.29,20.262
12/7/2022,20.28,20.2531
12/8/2022,20.3,20.3477
12/9/2022,20.25,20.2849
12/12/2022,20.3,20.3983
12/13/2022,20.54,20.5403
12/14/2022,20.49,20.5998
12/15/2022,20.36,20.3499
12/16/2022,20.1,20.0961
12/19/2022,19.94,19.9693
12/20/2022,20.04,19.9978
12/21/2022,20.13,20.1566
12/22/2022,20.04,20.009
12/23/2022,20.07,20.0934
12/27/2022,20.12,20.0718
12/28/2022,19.92,19.94
12/29/2022,20.19,20.1542
12/30/2022,20.16,20.1431
